part q_max time 
100.025 16.9048 60.0297
100.017 1 60.0106
100.016 10.388 60.1976
100.012 8.90674 60.184
100.025 6.73179 60.3669
100.023 1 60.1213
100.036 11.3805 61.7779
100.013 3.34587 60.0115
100.023 15.2874 72.5823
100.023 16.7107 66.7299
100.087 15.7003 66.284
100.005 11.2068 61.9229
100.033 14.5248 74.0081
100.025 10.8898 60.8086
100.015 18.9362 61.3926
100.011 14.6785 60.7527
100.023 12.883 60.5077
100.029 9.41258 63.4655
100.049 12.3634 77.3903
100.018 10.6101 64.4946
100.026 4.34719 60.5291
100.013 20.9768 94.447
100.017 22.1622 65.5561
100.011 8.99461 61.2565
100.013 18.3835 60.3542
100.014 17.4457 63.0988
100.003 6.93325 60.793
100.031 1.23539 60.2193
100.014 18.6732 60.6851
100.011 14.6003 61.7367
100.003 15.7933 62.4329
100.03 10.1409 60.2473
100.014 8.09023 61.6079
100.028 14.825 60.3614
100.001 4.98218 63.1392
100.007 10.734 65.004
100.026 8.42679 60.3983
100.001 11.6171 60.244
100.015 16.863 60.2222
100.025 7.19717 60.0492
100.013 9.1054 69.1023
100.007 13.0129 69.5531
0 11.102 120
100.016 9.32699 60.0287
0 19.5421 120
0.035 24.671 120
100.015 2.48491 60.0543
100.022 10.1174 64.0867
100.006 14.1688 65.3516
0.024 15.1685 120
100.003 25.583 63.6001
100.009 6.20921 60.2029
29.107 19.6828 120
100.023 3.91141 60.2033
71.682 15.342 120
100.004 11.7999 64.0186
100.003 11.4834 60.0592
0.074 9.78508 120
0.024 4.98192 120
49.99 14.3527 120
0 3.80482 120
0 13.4248 120
100.01 11.3421 61.7432
100.012 1.19579 118.8
48.837 7.21799 120
100.016 4.40893 73.3634
100.002 1.35301 63.5848
98.089 6.78068 120
100.009 1 62.5282
29.514 12.704 120
0.134 9.7643 120
0 12.9004 120
0 14.4002 120
100.019 6.46768 69.654
10.515 17.2315 120
10.531 12.4207 120
100.022 1.63075 61.7852
100.006 13.0688 69.6259
100.02 5.18139 65.2884
100.016 18.9619 61.48
100.025 13.2011 61.4872
100.01 10.6546 61.0713
100.018 8.2389 60.365
67.013 9.76706 120
100.025 21.2641 60.928
100.022 14.0694 60.5115
6.977 1 120
5.359 14.7271 120
2.653 8.16002 120
2.653 19.0861 120
14.448 13.0022 120
3.744 8.63625 120
0.841 4.40956 120
9.91 16.6053 120
0.017 10.1687 120
16.256 12.0744 120
11.009 7.75272 120
16.576 6.10234 120
2.908 1 120
8.582 4.32829 120
100.015 1 68.4821
2.346 6.71431 120
6.489 8.45956 120
3.212 22.7467 120
100.003 10.2067 63.2672
100.005 12.9262 62.0138
6.991 6.16779 120
100.011 12.0814 62.4496
10.422 5.47635 120
10.088 17.8119 120
0.545 14.9191 120
100.023 7.94609 60.0138
31.025 1 120
100.007 5.66173 60.0053
100.025 17.834 60.141
100.003 3.27902 63.6144
100.008 9.23666 62.1211
49.988 14.0114 120
100.008 3.50399 61.138
100.012 10.5151 78.5477
100.012 15.4198 60.0975
0.04 14.9989 120
100.022 8.01723 63.2275
23.597 1.66963 120
5.829 10.7376 120
100.003 1 60.1492
9.276 11.6803 120
100.004 12.8932 64.8397
27.991 17.9241 120
100.032 7.68873 63.772
100.006 1 60.1374
100.022 6.84176 61.0176
0.002 7.89856 120
57.798 16.437 120
100.023 24.9601 60.0329
10.756 6.49369 120
99.992 1.23191 61.3897
100.013 17.214 64.0889
0.164 15.2468 120
26.761 11.4825 120
0.217 12.3351 120
100.004 15.5681 60.0048
100.01 14.4916 62.5862
100.007 16.0091 65.4505
100.014 7.08551 60.0151
100.014 12.2489 62.1638
100.012 1 60.1893
100.021 12.8636 60.877
100.009 13.3373 61.478
0.407 12.0048 120
100.006 6.91462 60.8216
8.978 9.11312 120
100.017 7.57365 60.8419
100.019 12.5231 64.9043
4.876 8.07238 120
100.017 4.54712 61.17
100.012 18.2531 60.3747
100.004 16.2213 62.0952
100.011 10.5175 60.738
1.025 1 120
16.83 11.6662 120
1.302 16.118 120
100.028 12.3795 60.5036
100.019 16.5277 61.635
100.018 6.6019 61.2672
100.029 15.2428 60.4315
0.766 14.6914 120
100.022 7.57711 60.1293
100.013 10.3634 60.1226
3.99 11.7893 120
100.049 3.61986 60.0573
100.01 13.6059 60.0076
100.012 10.8942 60.0258
100.012 2.06657 60.0085
1.169 6.14926 120
100.004 5.86129 63.8207
100.016 1.73131 60.1412
100.004 9.861 65.0127
100.003 14.0649 64.5852
100.017 18.5527 62.1344
11.998 7.19177 120
100.003 2.70265 61.0156
0 17.8007 120
100.128 4.2272 60.8316
8.64 12.3651 120
16.82 5.55671 120
100.004 12.9769 65.1146
49.869 10.6891 120
0 7.9009 120
0 7.95936 120
100.004 4.96023 63.7082
100.052 16.7673 64.9556
100.018 5.49883 67.8761
100.018 14.7489 63.7788
100.016 11.895 60.9316
100.011 8.04385 71.6736
16.315 10.7413 120
0.016 12.9233 120
100.022 1.19667 60.4286
100.006 6.43067 60.4938
100.025 1 61.2502
100.009 7.76996 61.3445
21.925 5.19472 120
19.052 1 120
0.056 1 120
0.056 9.07188 120
100.003 5.13812 61.1252
40.815 1.65597 120
100.005 29.5525 61.0747
0.077 10.4725 120
0.071 18.1135 120
100.027 9.73353 60.3526
