part q_max time 
100 19.5421 2.67045
100 20.9768 0
100 15.2874 0
100 16.9048 0
100 15.342 5.19753
100 14.3527 1.98544
100 14.5248 0
100 1 0
100 1.19579 0.297295
100 10.388 0
100 16.7107 0
100 19.6828 12.0466
100 12.704 2.27441
100 15.7003 0.577224
100 12.3634 3.80221
100 8.90674 0
100 12.9004 3.79547
100 11.3805 0
100 6.78068 5.82148
100 24.671 18.3129
100 6.73179 0
100 1 0
100 3.34587 0
100 7.21799 9.44245
100 11.2068 0
100 9.76706 1.24925
100 18.9362 0
100 17.2315 8.26852
100 10.8898 0
100 9.41258 0.944905
100 14.7271 0.743719
100 8.16002 0.687156
100 14.6785 0
100 19.0861 1.30244
100 12.883 0.215381
100 4.34719 0
100 8.99461 0
100 12.0744 8.28838
100 6.10234 7.22297
100 4.32829 3.64974
100 18.3835 0
100 10.6101 9.37643
100 17.4457 0
100 5.47635 1.90145
100 22.1622 9.44912
100 15.7933 0
100 8.45956 5.49644
100 6.93325 0
100 7.75272 11.3584
100 14.6003 0
100 8.09023 0
100 1.23539 0
100 10.1409 0
100 22.7467 7.3236
100 14.825 0
100 4.98218 0
100 10.734 0
100 18.6732 5.98062
100 9.1054 0
100 14.0114 3.90241
100 13.0129 3.87596
100 10.1687 23.633
100 8.42679 0
100 14.9989 9.05736
100 16.863 0
100 14.4002 40.9764
100 7.19717 0
100 11.6171 2.63924
100 14.1688 0.309706
100 10.1174 0
100 16.437 1.6468
100 17.9241 6.46424
100 9.32699 0
100 17.8119 20.3823
100 1.66963 14.0058
100 6.49369 2.89549
100 11.7999 0
100 2.48491 0
100 25.583 3.57151
100 4.40893 4.15152
100 6.20921 2.42941
100 6.46768 0
100 11.4834 0
100 3.91141 4.05246
100 13.0022 40.3533
100 11.3421 0
100 1.35301 0
100 1 0
100 5.18139 0
100 1.63075 0
100 11.7893 1.01056
100 1 5.18187
100 18.9619 0
100 16.118 4.60129
100 13.2011 0.96331
100 16.6053 51.7358
100 1 37.6862
100 10.6546 0
100 8.2389 0
100 11.6803 32.2383
100 12.4207 67.0507
100 6.16779 44.2566
100 21.2641 0
100 13.0688 15.3342
100 6.14926 1.39699
100 1 0
100 14.0694 3.35356
100 10.5151 1.70256
100 10.6891 5.06895
100 5.55671 5.51621
100 10.2067 0
100 10.7413 0.979037
100 12.9262 0
100 11.4825 35.1325
100 12.0814 0
100 3.27902 0
100 7.94609 0
100 11.6662 28.3598
100 1 76.2293
100 1.65597 6.11665
100 1 69.2657
100 9.23666 0
100 10.4725 5.78892
100 5.66173 0
100 8.01723 0
100 18.1135 5.2287
100 17.834 0
100 12.3651 16.216
100 3.50399 0
100 12.9233 10.9642
100 15.4198 0
100 1 0
100 7.68873 0
100 11.3534 6.33241
100 17.214 0
100 6.84176 0
100 20.6777 5.34252
100 1 0
100 1.23191 0
100 9.11312 47.5119
100 7.19177 32.4851
100 5.19472 22.4034
100 1 21.5568
100 24.9601 0
100 16.8603 1.99747
100 16.0091 0
100 12.7227 3.08217
100 14.4916 2.3965
100 8.63625 94.1725
100 8.07238 51.1699
100 15.5681 0
100 7.08551 0
100 12.5231 0.518901
100 1 0
100 13.3917 1.27635
100 4.19323 10.5832
100 13.3373 0
100 8.57519 10.6423
100 10.7752 7.12719
100 12.8636 0
100 4.54712 0
100 6.91462 1.88984
100 7.57365 1.40089
100 16.2213 0
100 12.2489 7.18696
100 3.77131 3.04765
100 18.2531 0
100 10.5175 1.50045
100 14.6186 8.97757
100 16.5277 0
100 5.7827 0.493897
100 12.3795 0.141793
100 3.76026 0
100 7.75372 0.703119
100 7.57711 0
100 9.47312 0.679016
100 5.86129 0
100 3.61986 0
100 10.3634 1.83588
100 9.861 0
100 14.0649 0
100 12.8156 13.2431
100 5.99919 9.08741
100 10.8942 0
100 2.06657 0
100 13.6059 2.94501
100 16.8053 3.29966
100 18.5527 0
100 15.2428 6.99117
100 5.49883 0
100 9.89682 2.49627
100 1.73131 0
100 6.6019 10.0165
100 2.70265 0
100 4.96023 0
100 4.2272 0
100 22.3736 10.9981
100 14.7489 4.37997
100 16.7673 7.03253
100 11.895 0
100 12.9769 10.331
100 1 0
100 7.76996 0
100 1.19667 0
100 12.3358 5.68136
100 6.43067 0
100 8.40367 49.1458
100 5.13812 0
100 10.9837 38.9631
100 10.7376 108.359
100 29.5525 0
100 6.28475 1.93304
100 5.04088 3.48726
100 5.14914 8.49095
100 9.73353 0
100 8.64574 2.09073
100 1 10.3351
100 8.04385 18.1303
100 9.30337 0
100 8.54007 4.26884
100 10.488 0
100 10.2384 0
100 2.23447 0
100 6.15083 0
100 15.1827 7.46114
100 3.77545 0
100 3.19301 0
100 8.98335 13.8786
100 6.42775 0
100 8.21192 11.1826
100 2.8469 6.70506
100 7.63783 15.8083
100 12.8519 0
100 1.81258 0
100 5.19537 0
100 12.8205 6.937
100 9.80674 20.559
100 17.6055 0
100 3.22923 0
100 5.26597 6.01216
100 12.7337 0
100 14.2678 12.7201
100 3.16685 0
100 6.50619 5.7427
100 9.47219 0
100 13.174 16.8649
100 12.4852 0
100 4.2683 11.4018
100 6.81644 10.4623
100 27.575 0
100 8.1905 5.12669
100 13.3352 8.77614
100 18.4974 0
100 4.82484 0
100 1 1.00234
100 18.1313 39.168
100 3.37124 0
100 9.08736 39.7448
100 13.3634 0
100 1 0
100 10.9216 42.4895
100 9.9312 0
100 1 0
100 13.1218 19.8452
100 8.8799 0
100 6.72022 12.9261
100 4.61881 0
100 9.35624 0
100 9.7591 28.9208
100 14.4477 0
100 1 0
100 15.353 21.6589
100 1 0.655718
100 15.9178 0
100 20.5019 1.53659
100 9.45375 4.606
100 1 2.52154
100 13.8782 0.114983
100 3.44871 36.4224
100 13.6475 0
100 13.8259 3.08041
100 8.15159 0
100 10.9844 66.47
100 15.7594 71.6022
100 18.6138 0
100 12.3746 104.383
100 2.35071 7.50587
100 23.1804 0
100 11.362 0
100 14.6008 7.14089
100 8.44537 103.182
100 20.8465 0
44.394 19.9981 120
100 11.262 86.2005
100 15.8897 0
100 17.088 3.48171
100 15.3208 0
100 8.63017 13.1855
100 2.12468 70.6428
100 10.9218 0
100 17.7793 7.29284
100 9.04372 0
100 4.9121 0
100 15.2194 6.5085
100 21.8901 0
100 2.77731 1.06561
100 10.4008 0
100 14.3916 8.17398
100 9.9996 0
100 15.9879 0.332668
100 18.2565 0.493527
100 13.8525 0.182855
100 6.19436 0
100 13.9708 9.65392
100 8.31169 9.96634
100 15.3631 0
100 4.50983 33.0874
100 6.95072 0
100 1 18.995
100 5.5901 0
100 9.68553 3.71763
100 11.6434 5.14499
100 1 0
100 24.029 13.4414
100 10.3199 3.80407
100 15.2342 0
100 13.8885 2.61267
100 7.04861 6.60298
100 8.27561 0.201187
100 4.67573 0
100 8.35105 0
100 15.5376 0.669521
100 8.34378 1.00092
100 14.4062 81.623
100 18.0738 0
100 5.86324 0
100 1 0
100 12.665 43.3312
100 17.5204 0
100 9.73841 3.61722
100 1 96.7001
100 1 88.5867
100 5.70741 32.2968
100 13.3596 0
100 10.6774 7.5075
